acc_x,acc_y,acc_z
112,-251,897
79,-253,1097
34,-347,1142
2,-361,1093
-53,-232,1051
-60,-112,976
-62,-5,938
-77,54,1069
-86,52,1151
-61,26,1247
-73,25,1345
-65,15,1298
26,-3,1135
84,3,1020
47,-19,1028
-26,-68,958
-127,-27,997
-54,129,991
-48,192,824
-109,216,840
-184,185,890
-232,166,935
-256,172,975
-270,212,987
-210,238,905
-163,252,869
-123,286,899
-86,309,923
-82,343,938
-97,379,938
-106,391,894
-95,396,884
-76,397,901
-79,397,986
-113,422,1003
-108,461,977
-89,478,926
-70,494,927
-92,466,940
-90,478,920
-80,497,866
-119,488,881
-125,429,819
-106,435,824
-86,420,886
-119,338,1045
-142,316,1200
-130,382,1240
-145,441,1214
-105,446,1113
-49,365,943
-53,246,765
-120,259,878
-177,313,948
-212,286,924
-216,158,893
-223,17,921
-247,-39,1003
-257,75,1038
-282,119,946
-309,43,893
-255,-24,949
-253,-54,1006
-179,-122,942
-152,-220,869
-118,-242,894
-139,-203,999
-174,-148,1053
-247,-107,1016
-274,-88,997
-270,-109,935
-268,-116,923
-267,-143,891
-321,-256,819
-363,-342,830
-409,-371,825
-387,-343,838
-431,-303,719
-482,-376,619
-506,-454,663
-549,-472,743
-531,-430,787
-515,-381,836
-568,-413,718
-614,-464,600
-611,-414,642
-590,-383,703
-568,-415,648
-567,-427,541
-613,-417,601
-656,-379,634
-703,-319,685
-689,-269,584
-625,-232,594
-570,-208,603
-528,-165,684
-590,-148,756
-707,-155,813
-800,-162,860
-729,-115,876
-664,-80,815
-627,-120,615
-608,-170,493
-626,-154,553
-621,-128,571
-615,-100,623
-576,-81,632
-605,-51,690
-622,-12,762
-641,55,888
-640,77,896
-580,66,819
-529,80,803
-545,102,813
-570,99,870
-491,78,885
-477,93,885
-468,127,906
-446,150,935
-409,152,832
-381,142,826
-432,120,811
-510,100,930
-542,82,1008
-553,92,977
-522,125,904
-483,181,856
-441,263,791
-422,288,781
-386,283,844
-316,285,893
-205,273,872
-136,278,880
-123,280,942
-118,287,997
-108,303,1010
-80,318,982
-47,335,955
-50,365,930
-87,376,962
-132,373,1025
-157,361,1035
-147,322,1064
-139,293,1063
-150,289,1065
-163,299,1039
-159,293,1036
-183,245,1057
-146,162,1019
-63,161,927
-45,251,922
-76,312,944
-122,261,1005
-90,173,1050
-21,105,1090
-26,35,1019
-35,35,1027
-87,96,958
-109,118,959
-79,70,961
-61,-13,956
-75,-79,965
-103,-107,970
-128,-129,983
-153,-105,975
-167,-107,990
-142,-149,913
-135,-186,858
-200,-180,914
-199,-188,1026
-137,-291,895
-148,-322,812
-141,-367,840
-106,-411,774
-119,-431,746
-128,-453,786
-132,-464,868
-123,-474,917
-111,-496,888
-105,-498,878
-119,-509,858
-127,-510,855
-134,-489,916
-116,-490,922
-104,-476,904
-101,-459,895
-101,-463,892
-107,-473,882
-117,-495,870
-116,-508,840
-101,-493,822
-91,-456,807
-74,-410,840
-69,-380,897
-76,-354,965
-98,-342,999
-91,-353,912
-99,-351,885
-140,-359,786
-133,-321,846
-101,-247,965
-106,-213,1037
-121,-194,1073
-128,-184,1006
-126,-158,961
-119,-117,929
-113,-66,948
-112,-41,961
-108,1,935
-108,43,931
-114,85,952
-139,117,1044
-144,124,1057
-142,135,990
-156,209,998
-177,255,973
-181,292,966
-176,302,942
-183,332,943
-220,340,997
-239,340,998
-236,347,969
-219,356,955
-219,361,928
-240,357,933
-261,363,993
-264,366,1072
-175,336,1122
-202,263,1077
-256,173,1004
-264,213,971
-271,232,901
-262,211,885
-321,143,897
-356,92,896
-403,105,994
-361,132,1024
-317,148,946
-334,127,829
-383,90,808
-415,47,846
-407,20,862
-405,-1,858
-429,-34,868
-432,-77,881
-415,-119,838
-432,-161,833
-420,-195,866
-395,-228,862
-406,-279,839
-403,-310,824
-380,-344,721
-366,-369,635
-372,-395,734
-367,-419,791
-366,-433,793
-357,-449,793
-358,-455,804
-368,-457,822
-362,-451,826
-351,-432,813
-348,-420,788
-331,-411,773
-352,-398,791
-346,-379,818
-338,-375,844
-324,-363,885
-330,-357,907
-347,-354,936
-366,-351,878
-362,-331,837
-335,-304,827
-309,-345,816
-299,-379,845
-284,-387,866
-294,-378,859
-331,-363,896
-370,-371,914
-417,-421,1013
-422,-406,1054
-418,-308,907
-403,-209,796
-395,-150,861
-439,-165,860
-456,-173,917
-415,-108,1004
-404,-48,1020
-388,-50,942
-365,-98,902
-334,-100,892
-332,-66,851
-353,-95,794
-409,-158,866
-439,-131,935
-444,-165,848
-479,-178,770
-483,-108,876
-496,-47,978
-507,-55,878
-517,-35,786
-507,-3,770
-445,15,869
-403,-7,909
-367,-21,905
-351,-50,900
-322,-71,923
-310,-72,963
-257,-53,935
-255,5,846
-255,71,551
-188,232,760
-173,316,1038
-300,231,1031
-352,184,942
-295,194,888
-258,247,939
-231,286,1006
-190,276,893
-197,282,991
-227,310,1057
-249,397,1043
-281,437,988
-315,503,863
-249,537,847
-238,540,806
-204,509,835
-201,504,743
-113,422,682
-140,421,848
-134,396,1029
-82,407,996
46,383,903
43,357,896
-21,310,1041
-129,304,1247
-91,310,1293
-57,292,1077
10,271,911
56,228,816
33,215,892
-11,189,979
-48,171,1066
-26,166,1082
27,168,863
92,194,537
169,295,397
198,453,739
65,444,913
12,371,1028
-15,283,1079
8,273,1060
57,327,956
84,414,887
44,473,875
-5,490,928
-1,500,962
10,504,947
34,458,771
34,473,792
-2,498,950
-40,474,1149
-21,432,1219
38,382,1082
41,367,929
-4,380,741
-56,376,829
-59,246,820
-113,68,800
-132,0,841
-74,63,1014
-123,111,1138
-42,169,1122
22,219,1040
5,169,927
-3,98,873
-28,61,949
-42,68,1077
-91,29,1233
-117,-36,1236
-141,-86,1103
-240,-141,1035
-334,-148,1003
-365,-120,958
-408,-109,955
-375,-167,845
-472,-262,848
-543,-332,901
-559,-326,952
-469,-289,939
-408,-255,845
-375,-311,758
-368,-398,795
-395,-426,910
-383,-416,968
-334,-313,897
-309,-253,774
-327,-189,650
-340,-166,604
-383,-184,666
-374,-158,768
-367,-155,818
-411,-215,739
-439,-286,574
-416,-225,616
-400,-139,838
-430,-103,915
-480,-114,872
-465,-73,829
-459,-50,979
-487,-42,1096
-489,-55,1045
-448,-42,940
-429,-23,1020
-437,-3,1101
-428,11,1084
-383,38,1005
-357,37,900
-349,22,866
-403,8,871
-553,60,815
-390,-121,799
-274,-133,803
-515,36,1241
-502,142,1225
-442,231,968
-421,208,771
-391,211,704
-438,194,861
-481,145,900
-470,124,871
-422,137,864
-368,155,743
-313,200,748
-304,251,839
-340,285,890
-315,274,833
-279,259,869
-291,299,879
-314,332,927
-297,337,905
-253,304,835
-224,279,848
-266,268,915
-307,267,981
-286,269,941
-254,264,921
-232,263,900
-240,251,873
-228,227,872
-271,239,950
-297,287,962
-228,360,941
-139,406,906
-151,431,899
-182,469,934
-205,488,892
-191,528,829
-176,578,780
-126,583,742
-106,536,774
-175,477,899
-254,452,996
-242,479,956
-215,542,885
-170,536,780
-207,417,800
-280,268,900
-320,218,939
-269,264,855
-210,299,782
-226,286,847
-299,261,990
-284,220,987
-182,209,843
-157,233,787
-189,232,862
-250,222,955
-275,209,1031
-180,193,996
-110,204,1004
-104,215,1071
13,130,1004
-21,167,1074
-26,261,1134
18,134,1025
-35,67,1036
9,86,1058
49,38,836
33,-46,767
80,-146,760
95,-275,796
66,-304,747
99,-231,819
311,-207,632
353,-211,801
99,-151,1091
-102,-91,1472
-53,8,1257
134,50,983
235,-7,864
189,-37,999
174,-79,1129
184,-121,1133
205,-111,1154
244,-71,1174
228,-51,1118
170,-71,1156
103,-60,1262
64,-48,1283
57,27,1317
85,91,1160
68,104,1052
20,43,1080
-96,-49,1189
-118,-124,1185
-121,-131,1077
-61,-75,870
-118,-32,720
-154,-126,597
-257,-257,671
-353,-328,850
-395,-320,952
-387,-331,861
-355,-339,774
-391,-329,788
-474,-335,861
-484,-325,725
-483,-256,589
-481,-226,499
-550,-256,509
-613,-236,544
-651,-161,513
-668,-101,571
-667,-50,563
-681,-25,563
-748,-4,570
-797,51,568
-774,92,548
-771,149,565
-772,216,578
-699,189,442
-658,157,401
-705,118,437
-721,86,490
-750,123,616
-760,182,743
-805,281,866
-722,322,881
