acc_x,acc_y,acc_z
-152,119,880
-507,84,764
-748,507,1184
-740,446,856
-354,211,844
-229,-174,1053
-252,-771,1266
-144,-1154,1402
-53,-815,1285
-72,-187,873
-331,389,968
-669,793,932
-732,578,1102
-310,30,995
-173,-537,1262
-142,-1228,1858
-126,-1162,1437
-119,-244,583
-218,259,656
-508,652,1040
-649,668,615
-595,100,662
-439,-541,740
-276,-1273,1253
-111,-1053,2022
11,-188,1023
-56,256,731
-353,521,1422
-583,663,1194
-615,68,568
-435,-191,489
-227,-766,981
-204,-785,2114
-83,-340,1491
-100,211,748
-282,694,1369
-518,723,1282
-531,-88,359
-475,-413,450
-247,-796,798
-143,-741,1801
-38,-377,1523
-38,16,734
-204,617,1317
-439,961,1487
-553,72,588
-478,-522,459
-296,-1112,636
-49,-964,1595
34,-326,1461
-21,9,615
-185,389,1374
-378,808,1776
-497,155,737
-413,-387,457
-225,-915,826
-106,-961,1494
-30,-412,1368
-38,-65,631
-193,216,1253
-381,845,1594
-435,310,845
-393,-240,658
-218,-699,1233
-209,-1016,1432
-203,-522,1365
-156,-12,868
-120,58,746
-188,-27,930
-343,525,1303
-388,694,1305
-382,-45,780
-103,-438,1094
-125,-724,1309
-138,-787,1166
-111,-466,807
-118,-139,632
-130,-37,714
-210,118,1024
-343,285,1495
-357,-95,1404
-267,-470,1072
-136,-447,1076
-203,-405,1050
-227,-508,959
-182,-609,791
-128,-663,695
-77,-605,654
-47,-463,576
-176,-279,872
-363,238,1558
-376,346,1610
-155,-144,1065
-50,-467,846
-136,-626,963
-221,-734,936
-231,-673,683
-185,-379,898
-181,-175,711
-292,-200,775
-379,-90,957
-462,221,1178
-482,215,1006
-373,-51,945
-301,-332,895
-297,-704,1102
-288,-1042,1054
-241,-987,1016
-170,-737,891
-155,-400,901
-346,243,995
-568,996,1108
-433,599,802
-177,105,1154
28,-531,1480
-175,-1319,1543
-175,-1551,1371
-3,-903,1109
11,-330,801
-80,-142,822
-387,492,1138
-489,1132,1303
-423,381,1001
-88,-291,1041
-93,-890,1055
-248,-1276,966
