acc_x,acc_y,acc_z,prediction
536,445,728,0.434333
506,453,726,0.611439
480,442,734,0.598789
478,458,744,0.527103
454,464,708,0.501802
441,462,685,0.413249
435,532,710,0.552404
409,567,748,0.514452
368,542,747,0.552404
379,584,775,0.438549
342,559,747,0.387948
327,511,713,0.518669
353,606,752,0.514452
318,621,782,0.501802
281,581,758,0.632523
272,590,759,0.683125
264,581,804,0.577705
237,525,815,0.552404
245,564,846,0.455417
235,578,813,0.434333
207,532,760,0.581921
191,519,774,0.506019
169,524,783,0.459634
170,541,821,0.265660
155,565,832,0.400598
149,558,828,0.463850
152,558,836,0.371080
133,536,848,0.324695
111,506,875,0.362647
107,516,892,0.531320
163,586,843,0.468067
169,554,782,0.531320
69,421,705,0.480718
43,377,825,0.312045
27,417,897,0.105421
16,449,935,0.253009
3,460,903,0.400598
-2,455,858,0.446983
-8,449,864,0.392164
-24,451,871,0.354213
-17,455,926,0.215058
-27,448,903,0.198191
-35,431,886,0.269877
-56,425,859,0.257226
-88,384,880,0.202407
-85,412,916,0.261443
-88,447,967,0.206624
-133,378,962,0.143372
-144,365,928,0.088553
-135,334,923,0.000000
-127,363,920,0.000000
-116,367,941,0.067469
-178,251,971,0.092770
-164,265,982,0.025301
-145,232,985,0.000000
-158,216,993,0.000000
-169,167,1052,0.000000
-136,163,1054,0.000000
-137,159,1005,0.000000
-155,113,969,0.000000
-127,93,987,0.000000
-127,44,1038,0.000000
-149,-34,1074,0.000000
-135,-43,1073,0.000000
-118,-34,1069,0.000000
-85,-31,1051,0.000000
-68,-36,1006,0.012650
-30,-74,985,0.000000
-36,-97,970,0.000000
-61,-159,964,0.000000
-65,-180,944,0.000000
-24,-172,972,0.000000
34,-226,1001,0.000000
86,-261,992,0.000000
83,-212,973,0.000000
91,-224,975,0.000000
123,-208,971,0.000000
137,-264,960,0.000000
174,-248,952,0.000000
213,-265,960,0.000000
199,-258,895,0.000000
227,-241,868,0.000000
231,-226,866,0.000000
266,-196,899,0.000000
286,-177,855,0.000000
327,-144,815,0.000000
315,-166,803,0.000000
310,-148,788,0.004217
291,-95,796,0.000000
306,10,907,0.000000
239,11,942,0.000000
265,27,985,0.004217
241,15,979,0.000000
220,26,957,0.000000
227,85,971,0.000000
207,158,996,0.000000
221,168,1058,0.004217
155,116,1002,0.000000
182,93,989,0.000000
156,137,856,0.000000
189,223,865,0.000000
183,283,953,0.000000
148,267,1010,0.004217
154,254,1031,0.000000
159,260,1004,0.000000
123,286,914,0.004217
113,363,884,0.000000
153,432,916,0.000000
143,404,923,0.000000
87,352,914,0.000000
86,355,952,0.000000
73,391,955,0.000000
84,458,923,0.000000
53,493,870,0.000000
31,491,837,0.000000
29,490,845,0.000000
37,506,890,0.000000
3,520,869,0.000000
9,524,856,0.004217
6,527,841,0.000000
-1,549,850,0.000000
-35,537,844,0.000000
-48,486,824,0.000000
-25,496,845,0.000000
-34,523,826,0.000000
-21,562,831,0.000000
-28,570,854,0.000000
-61,545,840,0.000000
-66,545,856,0.000000
-82,526,833,0.000000
-77,545,829,0.000000
-76,536,853,0.000000
-62,530,874,0.000000
-61,523,920,0.016867
-45,509,923,0.000000
-29,492,927,0.000000
-43,482,934,0.000000
-106,408,961,0.000000
-90,379,975,0.000000
-76,384,982,0.000000
-101,332,936,0.000000
-81,300,941,0.000000
-19,329,981,0.000000
15,333,1002,0.000000
-14,279,993,0.004217
-34,206,977,0.000000
14,176,988,0.000000
59,172,1026,0.004217
74,144,1039,0.000000
57,113,1035,0.000000
25,64,989,0.000000
59,-7,1022,0.004217
85,-11,1032,0.000000
259,-24,996,0.000000
115,-85,868,0.000000
93,-136,845,0.000000
120,-151,865,0.000000
142,-158,934,0.000000
128,-175,927,0.000000
126,-204,894,0.004217
131,-196,872,0.000000
153,-167,916,0.000000
180,-150,942,0.000000
185,-137,954,0.000000
170,-116,942,0.000000
162,-75,917,0.000000
173,-38,933,0.000000
180,-8,953,0.000000
166,2,983,0.000000
183,22,1025,0.000000
186,36,1031,0.000000
192,55,1004,0.000000
222,108,986,0.000000
244,147,961,0.000000
227,151,921,0.000000
258,158,940,0.004217
271,169,959,0.000000
264,180,959,0.000000
267,161,943,0.000000
252,193,904,0.000000
271,242,891,0.000000
295,279,904,0.000000
300,282,901,0.000000
301,295,883,0.000000
299,294,874,0.000000
312,305,905,0.000000
327,316,914,0.000000
320,320,895,0.000000
220,341,744,0.000000
289,411,764,0.000000
430,463,993,0.000000
399,403,1004,0.000000
343,381,974,0.000000
317,405,974,0.000000
309,414,981,0.000000
280,379,957,0.000000
263,313,986,0.000000
239,284,987,0.000000
210,253,899,0.000000
223,235,870,0.000000
231,167,926,0.000000
253,133,1001,0.000000
227,100,1028,0.000000
234,69,1048,0.000000
234,35,1045,0.000000
250,31,1026,0.000000
236,9,912,0.075903
201,-51,822,0.139155
213,-86,855,0.189757
221,-119,879,0.037951
189,-142,873,0.000000
200,-141,865,0.000000
206,-119,834,0.000000
194,-87,814,0.000000
202,-24,779,0.000000
175,33,754,0.000000
160,127,827,0.025301
176,189,895,0.075903
155,270,905,0.033735
174,367,974,0.122288
199,393,1062,0.101204
227,324,1221,0.000000
185,173,1486,0.000000
167,222,1652,0.000000
169,475,1325,0.021084
214,493,992,0.468067
165,302,696,0.489151
148,174,469,0.337346
151,204,248,0.518669
166,257,324,0.632523
107,366,645,0.215058
83,494,1146,0.000000
69,227,1918,0.130721
26,-162,2457,0.193974
-28,282,1802,0.640957
175,799,949,0.851798
165,195,174,0.834931
121,323,742,0.796979
13,348,1554,0.716860
88,-13,2334,0.375297
50,75,1826,0.834931
193,561,870,0.543970
283,617,200,0.746377
250,442,126,0.780112
156,286,581,0.362647
61,177,1275,0.834931
92,84,1799,0.151806
80,198,1406,0.000000
197,383,886,0.569271
238,331,612,0.868665
238,244,630,0.906617
228,260,722,0.927701
193,262,898,0.113854
149,197,1141,0.265660
115,170,1190,0.156022
144,215,1025,0.733727
200,302,841,0.674691
206,337,736,0.202407
205,376,754,0.202407
175,401,836,0.438549
131,426,868,0.000000
147,439,915,0.126505
163,423,935,0.269877
147,428,946,0.763245
172,477,924,0.893966
172,499,881,0.860232
173,500,868,0.000000
171,511,848,0.156022
181,505,851,0.101204
146,482,837,0.881316
177,505,838,0.442766
175,546,795,0.442766
182,555,822,0.780112
169,554,812,0.750594
141,539,797,0.826497
162,567,807,0.527103
194,622,793,0.417465
189,650,749,0.463850
193,660,710,0.742161
184,635,724,0.636740
201,626,813,0.000000
232,643,850,0.000000
274,660,815,0.088553
196,665,712,0.640957
219,620,694,0.168673
280,647,744,0.316262
295,637,769,0.354213
286,615,805,0.000000
256,587,826,0.000000
272,585,849,0.000000
306,618,859,0.223492
336,607,856,0.054819
322,551,820,0.067469
313,501,813,0.016867
335,460,851,0.004217
370,454,851,0.004217
399,472,804,0.168673
403,419,772,0.181323
380,315,781,0.046385
391,252,821,0.000000
448,270,847,0.000000
472,286,821,0.000000
497,249,807,0.088553
466,159,799,0.021084
461,86,842,0.000000
449,40,855,0.000000
450,8,838,0.000000
456,27,784,0.046385
467,15,758,0.092770
446,-57,781,0.000000
425,-91,858,0.000000
433,-97,912,0.004217
434,-88,889,0.000000
426,-95,878,0.000000
413,-129,886,0.004217
419,-133,904,0.008434
404,-136,899,0.000000
407,-133,895,0.004217
391,-156,884,0.008434
390,-179,882,0.000000
375,-216,871,0.000000
369,-220,882,0.000000
363,-215,872,0.004217
346,-226,877,0.004217
336,-240,881,0.000000
334,-229,915,0.000000
309,-225,930,0.000000
297,-237,928,0.000000
280,-243,893,0.000000
262,-229,865,0.000000
255,-209,875,0.004217
234,-233,936,0.004217
207,-233,1001,0.000000
195,-214,1022,0.000000
167,-212,1000,0.004217
167,-191,960,0.000000
165,-176,956,0.000000
145,-190,948,0.000000
135,-192,974,0.000000
120,-179,994,0.000000
125,-165,997,0.004217
126,-158,963,0.000000
99,-164,941,0.000000
94,-165,968,0.000000
78,-122,978,0.000000
