acc_x,acc_y,acc_z,lr_vel,lr_dir,ud_vel,ud_dir
114,-46,909,,,,
116,-67,662,,,,
131,-24,835,,,,
125,-27,924,,,,
128,-40,1000,,,,
143,-19,1040,,,,
118,-36,942,,,,
158,-40,966,,,,
87,-23,835,,,,
168,-45,1073,,,,
148,-33,831,,,,
164,-35,1008,,,,
164,-22,874,,,,
183,-30,1123,,,,
212,-46,1141,,,,
153,-14,925,,,,
197,-10,883,,,,
197,-11,1036,,,,
186,0,959,,,,
226,-15,1007,,,,
221,2,1041,,,,
219,5,912,,,,
208,12,1016,,,,
235,9,998,,,,
264,1,1029,,,,
202,5,916,,,,
223,20,994,,,,
230,29,1075,,,,
209,17,980,,,,
201,36,1030,,,,
185,15,997,,,,
134,26,1003,,,,
71,31,1014,,,,
-1,39,1010,,,,
47,-39,975,,,,
41,16,997,,,,
116,61,969,,,,
174,9,997,,,,
280,-6,976,,,,
272,13,969,,,,
240,19,1016,,,,
188,9,1009,,,,
185,1,1024,,,,
297,-9,947,,,,
296,-25,1110,,,,
314,-18,871,,,,
196,2,1073,,,,
192,13,1125,,,,
200,-3,993,,,,
154,-23,1096,,,,
224,-38,976,,,,
205,-19,919,,,,
176,0,990,,,,
145,9,1053,,,,
175,-18,871,,,,
118,-18,1046,,,,
102,-3,1126,,,,
122,-5,983,,,,
99,-36,1187,,,,
176,-42,883,,,,
179,-17,1006,,,,
205,-11,1055,,,,
176,-49,784,,,,
153,-20,1119,,,,
165,-30,1214,,,,
167,-33,767,,,,
176,-61,718,,,,
170,-48,1022,,,,
128,-46,1027,,,,
170,-35,1065,,,,
221,-66,1035,,,,
205,-33,759,,,,
225,-43,1115,,,,
132,-49,1281,,,,
160,-79,725,,,,
234,-49,624,,,,
267,-73,589,,,,
192,-25,1565,,,,
148,-55,1244,,,,
160,-95,1186,,,,
146,-75,931,,,,
134,-37,1207,,,,
139,-54,534,,,,
198,-88,1089,,,,
126,-63,1017,,,,
177,-65,881,,,,
185,-52,1011,,,,
198,-60,1167,,,,
182,-38,1129,,,,
152,-27,1158,,,,
126,-59,1084,,,,
157,-75,604,,,,
110,-69,816,,,,
182,-120,805,,,,
76,-26,1247,,,,
107,-35,1108,,,,
116,-102,946,,,,
76,-43,1285,,,,
92,-57,578,,,,
136,-38,733,,,,
101,-57,939,,,,
85,-51,1188,,,,
27,-36,1327,,,,
163,-106,736,,,,
114,-48,498,,,,
108,-66,1058,,,,
153,-74,1050,,,,
70,-57,1177,,,,
48,-105,758,,,,
87,-43,1203,,,,
66,-54,1114,,,,
124,-32,827,,,,
90,-54,1254,,,,
73,-76,682,,,,
27,-58,872,,,,
46,-12,742,,,,
35,-24,1376,,,,
49,-43,1126,,,,
27,-45,762,,,,
104,-65,906,,,,
118,-52,1180,,,,
3,-37,886,,,,
49,-76,567,,,,
59,-39,1003,,,,
22,-52,1897,,,,
99,-90,513,,,,
103,-53,910,,,,
68,14,1047,,,,
76,-24,943,,,,
73,19,1159,,,,
93,-67,816,,,,
43,-86,1267,,,,
115,-45,329,,,,
76,-12,1178,,,,
60,-7,1275,,,,
114,-47,526,,,,
81,-42,843,,,,
60,-17,1496,,,,
53,-38,732,,,,
4,-18,1095,,,,
136,-91,929,,,,
74,1,462,,,,
36,-43,717,,,,
-5,30,1301,,,,
100,-50,1017,,,,
31,5,1160,,,,
66,3,1414,,,,
91,-28,400,,,,
-9,-23,1406,,,,
0,5,1268,,,,
42,-26,127,,,,
76,12,1400,,,,
9,28,1037,,,,
40,-43,560,,,,
26,-12,1045,,,,
10,-10,41,,,,
29,50,861,,,,
137,7,1336,,,,
26,-11,823,,,,
4,-5,1330,,,,
35,12,959,,,,
79,-15,591,,,,
50,-28,1077,,,,
92,3,754,,,,
45,9,1034,,,,
0,-4,966,,,,
31,15,1340,,,,
66,-4,1133,,,,
68,-20,821,,,,
17,26,1072,,,,
85,21,1487,,,,
53,-17,827,,,,
49,-10,922,,,,
36,3,1136,,,,
104,-14,563,,,,
74,34,1636,,,,
30,32,956,,,,
27,38,974,,,,
39,10,1188,,,,
69,-3,258,,,,
97,47,1247,,,,
65,66,928,,,,
74,16,629,,,,
97,44,950,,,,
68,67,1374,,,,
77,45,741,,,,
60,44,1022,,,,
74,74,1103,,,,
86,103,840,,,,
32,47,705,,,,
88,33,1092,,,,
27,122,953,,,,
29,-5,766,,,,
50,61,1112,,,,
-75,86,1383,,,,
32,45,1244,,,,
-7,102,1242,,,,
-43,79,782,,,,
35,100,1455,,,,
-11,58,1382,,,,
-50,86,1368,,,,
30,80,1156,,,,
0,79,1257,,,,
27,30,1166,,,,
-39,108,852,,,,
-35,1,853,,,,
5,-5,611,,,,
-20,62,1052,,,,
26,57,991,,,,
-10,31,857,,,,
20,26,1078,,,,
16,33,983,,,,
18,-1,1042,,,,
135,8,776,,,,
0,20,947,,,,
14,39,864,,,,
44,5,1344,,,,
24,41,863,,,,
15,65,1165,,,,
72,-8,1313,,,,
83,-14,918,,,,
3,0,724,,,,
41,34,1382,,,,
22,58,714,,,,
27,14,894,,,,
-70,49,1460,,,,
4,-2,1188,,,,
65,25,976,,,,
-14,53,980,,,,
-16,26,1577,,,,
-14,8,437,,,,
-29,-1,986,,,,
47,48,1602,,,,
-25,5,1283,,,,
53,-22,882,,,,
42,-127,372,,,,
-38,0,571,,,,
-50,-13,782,,,,
34,49,1272,,,,
45,-69,408,,,,
-2,-11,1533,,,,
-48,-2,1508,,,,
27,18,788,,,,
37,30,934,,,,
22,-9,384,,,,
14,-42,1008,,,,
0,11,1250,,,,
48,-4,1040,,,,
17,-41,671,,,,
55,13,316,,,,
1,3,1369,,,,
44,26,242,,,,
-81,31,1603,,,,
55,17,123,,,,
-75,4,1383,,,,
26,43,1729,,,,
-29,-12,276,,,,
93,14,1514,,,,
10,-15,923,,,,
-61,-4,1108,,,,
29,-3,798,,,,
1,-55,1362,,,,
33,24,1099,,,,
-7,-36,1009,,,,
-86,-6,1042,,,,
-45,-3,453,,,,
-10,39,1512,,,,
-19,-23,700,,,,
44,-21,-21,,,,
-70,32,1192,,,,
38,-2,1449,,,,
-18,-20,639,,,,
-16,26,1312,,,,
58,-17,610,,,,
-29,47,1967,,,,
91,47,1464,,,,
-49,-10,632,,,,
5,-27,1764,,,,
38,30,1353,,,,
81,47,1334,,,,
15,-12,1230,,,,
60,-47,1466,,,,
51,7,1559,,,,
91,-43,803,,,,
84,-76,727,,,,
-124,-103,1550,,,,
-55,-86,1728,,,,
91,-32,587,,,,
18,-106,1254,,,,
-98,-84,1394,,,,
76,-46,728,,,,
-33,7,1275,,,,
3,-113,-885,,,,
45,-60,95,,,,
-6,-5,1408,,,,
42,-127,-310,,,,
-14,-20,818,,,,
91,-63,377,,,,
-18,-26,2231,,,,
15,-57,262,,,,
-35,-56,425,,,,
18,-118,-382,,,,
-34,-54,60,,,,
5,-71,668,,,,
-47,-15,878,,,,
46,-81,1425,,,,
31,-35,2440,,,,
17,-27,1116,,,,
118,12,1727,,,,
78,-12,1256,,,,
-75,-78,1154,,,,
35,-52,61,,,,
-108,-104,795,,,,
133,-120,-39,,,,
34,-84,1320,,,,
8,-65,56,,,,
162,-62,397,,,,
-73,-62,2105,,,,
117,-28,789,,,,
99,-23,2132,,,,
156,-101,1207,,,,
-15,-21,1236,,,,
95,-75,674,,,,
-31,-107,791,,,,
99,-2,559,,,,
172,-43,945,,,,
-52,-12,2343,,,,
24,-114,452,,,,
153,-101,-1242,,,,
59,-19,2926,,,,
172,-72,-111,,,,
0,-68,759,,,,
106,-45,1016,,,,
162,-37,-250,,,,
-2,-35,2180,,,,
126,-71,-492,,,,
50,-96,-340,,,,
13,-71,1159,,,,
81,-44,-115,,,,
38,-13,1148,,,,
106,24,1668,,,,
69,30,1077,,,,
-50,-11,2841,,,,
84,24,225,,,,
12,26,1939,,,,
-18,2,1619,,,,
-3,-30,429,,,,
-61,-12,1547,,,,
53,64,641,,,,
0,-31,524,,,,
12,-63,118,,,,
-50,28,531,,,,
-83,-89,108,,,,
15,-44,-172,,,,
-47,28,1211,,,,
-37,-5,461,,,,
-87,35,1662,,,,
-50,54,1567,,,,
-124,4,1592,,,,
-29,-69,581,,,,
-136,18,548,,,,
-133,60,1387,,,,
-157,54,1254,,,,
-69,3,2216,,,,
-127,7,911,,,,
-142,21,962,,,,
-177,12,1348,,,,
-92,37,715,,,,
-112,39,1345,,,,
-54,62,1305,,,,
-142,42,1230,,,,
-203,84,1478,,,,
-209,15,978,,,,
-209,29,1046,,,,
-225,42,780,,,,
-188,36,621,,,,
-187,-13,876,,,,
-279,42,964,,,,
-207,62,1666,,,,
-210,18,1051,,,,
-309,-28,824,,,,
-161,82,1790,,,,
-238,100,1706,,,,
-302,71,780,,,,
-212,-3,213,,,,
-283,37,1234,,,,
-262,66,909,,,,
-229,47,1012,,,,
-297,47,777,,,,
-181,64,1068,,,,
-228,32,1602,,,,
-295,59,946,,,,
-224,95,1008,,,,
-176,58,1186,,,,
-208,59,1480,,,,
-188,50,893,,,,
-216,105,1212,,,,
-222,62,1007,,,,
-236,67,1067,,,,
-181,75,920,,,,
-163,90,899,,,,
-214,65,1508,,,,
-194,82,543,,,,
-158,59,1261,,,,
-161,51,1048,,,,
-182,55,677,,,,
-161,52,956,,,,
-121,12,921,,,,
-258,54,1045,,,,
-232,77,890,,,,
-255,39,882,,,,
-231,17,1148,,,,
-222,21,936,,,,
-197,17,1051,,,,
-254,45,907,,,,
-171,20,671,,,,
-173,29,733,,,,
-177,53,875,,,,
-199,34,1061,,,,
-225,38,1269,,,,
-189,36,1066,,,,
-201,17,885,,,,
-155,19,941,,,,
-200,-8,847,,,,
-210,12,759,,,,
-242,21,1107,,,,
-225,3,1100,,,,
-230,4,947,,,,
-248,5,1007,,,,
-253,-14,1168,,,,
-294,-5,952,,,,
-243,11,956,,,,
-190,-45,1091,,,,
-213,-27,918,,,,
-212,-12,993,,,,
-189,-27,1110,,,,
-146,-28,1151,,,,
-146,-21,836,,,,
-141,-36,912,,,,
-193,-38,1093,,,,
-202,15,944,,,,
-212,37,950,,,,
-193,31,1077,,,,
-177,-1,992,,,,
-178,12,891,,,,
-155,-15,1006,,,,
-123,-18,1074,,,,
-135,-14,961,,,,
-186,-30,952,,,,
-155,-40,1006,,,,
-155,-55,1059,,,,
-175,-39,913,,,,
-184,-25,881,,,,
-161,-29,1181,,,,
-169,-62,874,,,,
-180,-42,858,,,,
-125,-76,1061,,,,
-135,-67,936,,,,
-109,-57,900,,,,
-106,-44,1127,,,,
-208,-32,917,,,,
-279,-23,825,,,,
-142,-27,1062,,,,
-87,4,872,,,,
-87,7,792,,,,
-14,-57,720,,,,
-84,-26,1260,,,,
-161,-60,1022,,,,
-134,-62,1170,,,,
-137,-80,992,,,,
-152,-55,789,,,,
-75,-60,873,,,,
-77,-29,876,,,,
-89,-38,1261,,,,
-153,-51,1258,,,,
-92,-66,770,,,,
-118,-69,1074,,,,
-149,-60,1028,,,,
-122,-53,1191,,,,
-112,-70,865,,,,
-110,-43,1046,,,,
-94,-84,937,,,,
-127,-77,893,,,,
-93,-75,747,,,,
-64,-83,913,,,,
-104,-28,1231,,,,
-113,-51,1127,,,,
-88,-68,1293,,,,
-87,-21,808,,,,
-91,-40,945,,,,
-126,14,1320,,,,
-139,-28,1261,,,,
-46,-38,1150,,,,
-93,-16,812,,,,
-106,-8,708,,,,
-114,0,1084,,,,
-62,-32,886,,,,
-91,0,1143,,,,
-87,30,1096,,,,
-93,7,905,,,,
-111,29,1588,,,,
-137,14,554,,,,
-79,15,1164,,,,
-126,22,1164,,,,
-61,-10,929,,,,
-70,0,800,,,,
-94,24,560,,,,
-117,12,1220,,,,
-85,9,719,,,,
-114,19,918,,,,
-88,20,983,,,,
-114,22,1042,,,,
-104,0,676,,,,
-90,7,850,,,,
-87,10,1140,,,,
-76,-10,286,,,,
-48,28,690,,,,
-105,33,1030,,,,
-115,36,1088,,,,
-109,38,641,,,,
-95,-1,589,,,,
-91,28,907,,,,
-81,20,1092,,,,
-83,21,720,,,,
-119,72,1338,,,,
-90,6,1320,,,,
-125,-5,1408,,,,
-69,12,904,,,,
-80,-2,440,,,,
-116,12,814,,,,
-105,18,952,,,,
-78,0,824,,,,
-91,-2,791,,,,
-103,11,1115,,,,
-77,30,1229,,,,
-63,12,1224,,,,
-83,12,535,,,,
-61,34,960,,,,
-87,13,1143,,,,
-141,25,1325,,,,
-81,24,1015,,,,
-130,40,935,,,,
-64,10,915,,,,
-93,3,1587,,,,
-26,7,783,,,,
-111,3,903,,,,
-62,-24,1129,,,,
-65,19,1089,,,,
-109,14,592,,,,
-76,16,892,,,,
-24,-15,1546,,,,
-122,-23,1265,,,,
-44,-35,1598,,,,
-95,24,810,,,,
-72,38,1111,,,,
-44,-11,-29,,,,
-79,-3,1068,,,,
-7,-55,621,,,,
-90,10,904,,,,
-95,57,1810,,,,
7,36,1016,,,,
-36,-14,808,,,,
1,12,1664,,,,
-61,-8,809,,,,
11,-20,1393,,,,
-43,-13,1487,,,,
-38,-5,1160,,,,
-29,41,1526,,,,
-69,80,450,,,,
-49,39,1554,,,,
-122,-57,370,,,,
33,-7,2310,,,,
-64,31,1549,,,,
-39,-42,1335,,,,
20,24,1638,,,,
-103,4,528,,,,
-29,-8,1809,,,,
-65,29,706,,,,
62,66,1130,,,,
-38,0,150,,,,
-103,11,1275,,,,
-26,-11,1683,,,,
-11,-1,1055,,,,
49,20,1425,,,,
-73,-16,870,,,,
16,-58,1302,,,,
-136,-3,194,,,,
53,-73,1512,,,,
-86,-39,745,,,,
-54,6,1881,,,,
-116,-45,571,,,,
-110,0,1213,,,,
30,-1,1989,,,,
-23,-9,936,,,,
-45,-19,1066,,,,
-40,-41,932,,,,
31,-22,1286,,,,
-69,-58,-50,,,,
-26,82,1319,,,,
31,6,868,,,,
-60,-32,185,,,,
24,-62,1236,,,,
-35,-77,1114,,,,
-28,-83,159,,,,
-26,-10,1709,,,,
-25,-67,630,,,,
-24,3,1636,,,,
-134,0,923,,,,
51,-16,1899,,,,
-22,14,987,,,,
-18,80,1747,,,,
-6,-64,374,,,,
-14,69,1846,,,,
-46,-47,484,,,,
-57,5,482,,,,
14,13,1876,,,,
2,-57,869,,,,
27,-9,150,,,,
46,32,2173,,,,
14,3,116,,,,
-61,45,604,,,,
-8,-38,702,,,,
18,23,2024,,,,
18,8,987,,,,
71,5,574,,,,
6,85,1367,,,,
68,-21,1629,,,,
-37,103,1221,,,,
18,-65,543,,,,
-18,31,1161,,,,
22,-12,577,,,,
-4,-51,278,,,,
59,-26,333,,,,
51,40,1987,,,,
13,6,754,,,,
-7,3,1050,,,,
71,-49,909,,,,
41,-94,1802,,,,
-5,33,433,,,,
-13,67,1366,,,,
18,12,1468,,,,
47,-111,-99,,,,
3,-37,877,,,,
-4,-47,579,,,,
-35,24,1165,,,,
8,-55,906,,,,
-58,-2,1165,,,,
-55,-82,1106,,,,
-14,7,1125,,,,
-8,-11,1486,,,,
23,-33,942,,,,
45,-73,957,,,,
-32,-28,1304,,,,
-10,-21,1313,,,,
20,-62,315,,,,
-61,-33,751,,,,
20,-92,1038,,,,
59,-71,621,,,,
18,-42,1101,,,,
5,-35,1032,,,,
-3,-8,1414,,,,
-47,13,1650,,,,
-87,24,676,,,,
-49,32,1479,,,,
17,44,1324,,,,
-74,62,927,,,,
6,28,1197,,,,
-43,9,955,,,,
-11,36,1524,,,,
-14,-38,1213,,,,
-44,-15,867,,,,
-28,25,1651,,,,
37,-56,1058,,,,
-120,-16,1035,,,,
-107,-49,781,,,,
-27,-11,947,,,,
-100,-59,1356,,,,
-12,-93,618,,,,
-44,-26,1056,,,,
20,-70,1015,,,,
-9,-18,1230,,,,
49,-11,1220,,,,
-74,28,326,,,,
1,13,795,,,,
72,35,209,,,,
111,-98,1038,,,,
20,-109,876,,,,
-26,13,695,,,,
7,-30,1159,,,,
32,5,839,,,,
-7,16,1341,,,,
-17,-90,1396,,,,
-40,11,710,,,,
68,-20,1242,,,,
23,31,803,,,,
51,33,911,,,,
65,-57,1406,,,,
44,-24,1092,,,,
87,-71,1279,,,,
105,-17,1289,,,,
161,-62,694,,,,
63,-87,1450,,,,
23,-35,1232,,,,
77,-39,1455,,,,
1,-60,793,,,,
64,-71,786,,,,
24,-34,1137,,,,
-44,-23,1443,,,,
11,12,1303,,,,
28,-49,1872,,,,
30,11,544,,,,
128,26,927,,,,
21,-3,982,,,,
7,-75,571,,,,
40,-18,898,,,,
72,-27,939,,,,
19,-35,200,,,,
85,-84,457,,,,
50,13,162,,,,
80,43,2329,,,,
40,14,1922,,,,
124,-58,788,,,,
25,4,1004,,,,
43,11,860,,,,
82,-54,1017,,,,
26,-61,1166,,,,
135,-33,1147,,,,
147,2,1399,,,,
69,-8,929,,,,
81,-40,1276,,,,
31,28,1606,,,,
83,-70,744,,,,
104,-52,1478,,,,
12,26,1619,,,,
97,-45,730,,,,
135,-53,1173,,,,
104,-46,1237,,,,
65,-39,515,,,,
4,4,716,,,,
93,12,1023,,,,
26,32,768,,,,
32,-71,1025,,,,
44,26,984,,,,
13,2,1344,,,,
42,19,1480,,,,
76,-98,823,,,,
101,-7,1738,,,,
82,-9,1048,,,,
114,-103,332,,,,
58,-2,1091,,,,
74,-5,1505,,,,
83,-66,244,,,,
44,21,1489,,,,
16,-26,1818,,,,
53,-77,1024,,,,
130,25,1413,,,,
85,-8,1170,,,,
113,-47,592,,,,
86,1,777,,,,
24,-6,1171,,,,
65,-47,429,,,,
66,-36,720,,,,
50,16,1357,,,,
90,-25,1716,,,,
22,0,1552,,,,
51,-43,681,,,,
31,-24,1084,,,,
131,104,2213,,,,
32,-53,909,,,,
57,-64,389,,,,
42,-25,644,,,,
33,13,1173,,,,
52,-24,893,,,,
64,-46,854,,,,
81,-94,505,,,,
60,-48,1443,,,,
67,29,1084,,,,
60,-32,1100,,,,
63,-34,450,,,,
107,26,562,,,,
189,-32,383,,,,
58,-2,838,,,,
48,-37,943,,,,
-13,-64,1369,,,,
76,-29,1406,,,,
68,23,1281,,,,
52,-59,984,,,,
93,-98,791,,,,
111,-44,998,,,,
32,-45,1303,,,,
67,-38,841,,,,
73,-40,1134,,,,
20,41,976,,,,
75,5,1650,,,,
46,-26,1199,,,,
26,-15,1364,,,,
77,-26,1138,,,,
63,-43,624,,,,
49,-23,954,,,,
68,-16,1036,,,,
98,-27,956,,,,
86,-56,1181,,,,
38,-50,792,,,,
58,-77,965,,,,
32,-9,1375,,,,
37,-35,981,,,,
0,-49,781,,,,
79,-51,1201,,,,
56,-36,1565,,,,
65,-43,1182,,,,
40,-26,1108,,,,
101,-54,857,,,,
20,5,1557,,,,
155,-65,1221,,,,
56,-20,383,,,,
46,-36,1036,,,,
87,-45,1243,,,,
64,-3,1644,,,,
51,16,1367,,,,
49,-16,447,,,,
154,-30,1198,,,,
93,-16,487,,,,
93,-24,743,,,,
71,-7,867,,,,
60,-21,1022,,,,
18,36,1153,,,,
62,-26,1037,,,,
47,-7,1082,,,,
74,0,589,,,,
84,-17,551,,,,
71,-28,607,,,,
27,-33,796,,,,
66,-14,997,,,,
48,-13,1103,,,,
31,23,1252,,,,
41,-48,1108,,,,
50,-35,464,,,,
68,2,1255,,,,
74,-33,1090,,,,
108,-33,1072,,,,
28,9,949,,,,
66,1,851,,,,
20,-18,681,,,,
89,-74,869,,,,
91,-60,1127,,,,
6,-24,932,,,,
51,11,1198,,,,
45,16,906,,,,
46,1,1319,,,,
69,-70,1100,,,,
58,15,1671,,,,
117,-29,756,,,,
93,-41,960,,,,
20,-3,949,,,,
58,-26,498,,,,
108,-6,615,,,,
97,-8,1328,,,,
62,-13,800,,,,
99,-22,486,,,,
95,-39,510,,,,
45,-25,487,,,,
67,-10,747,,,,
70,-38,1554,,,,
29,-30,731,,,,
120,-18,1206,,,,
68,-35,1363,,,,
81,-47,636,,,,
67,-18,683,,,,
76,8,1000,,,,
51,-25,941,,,,
52,-14,1020,,,,
50,17,820,,,,
105,-17,1583,,,,
91,-18,1460,,,,
61,-45,926,,,,
55,-22,665,,,,
91,-11,1015,,,,
123,-22,797,,,,
47,10,904,,,,
40,-9,855,,,,
107,14,991,,,,
64,2,801,,,,
78,-13,1192,,,,
78,-1,1416,,,,
56,15,1275,,,,
71,-8,1102,,,,
72,-18,1027,,,,
12,-3,782,,,,
31,4,1150,,,,
112,14,1208,,,,
51,3,1048,,,,
59,12,1015,,,,
52,4,1048,,,,
59,23,891,,,,
37,-11,1025,,,,
54,28,1115,,,,
44,9,1048,,,,
-24,8,825,,,,
61,21,1046,,,,
13,5,973,,,,
76,25,1149,,,,
37,4,1164,,,,
72,-7,934,,,,
55,25,1043,,,,
12,-3,885,,,,
13,17,752,,,,
78,14,1095,,,,
28,-17,1037,,,,
52,29,1121,,,,
18,35,980,,,,
66,-5,1090,,,,
33,-8,899,,,,
48,29,1127,,,,
47,-22,988,,,,
28,-10,1027,,,,
44,-26,800,,,,
63,-47,1007,,,,
19,-3,857,,,,
96,-26,1109,,,,
68,-47,1122,,,,
24,-13,1090,,,,
31,-37,1046,,,,
0,5,1006,,,,
71,-46,1369,,,,
23,-9,985,,,,
78,-31,1040,,,,
23,-18,1242,,,,
63,-17,1006,,,,
74,-1,990,,,,
65,-33,1019,,,,
90,14,948,,,,
24,-18,928,,,,
-1,-12,905,,,,
77,-22,906,,,,
58,5,921,,,,
2,-32,981,,,,
56,-43,942,,,,
54,-9,921,,,,
57,5,1050,,,,
66,-23,1080,,,,
-16,-24,969,,,,
77,-10,1032,,,,
57,-17,1040,,,,
55,-25,1101,,,,
4,10,927,,,,
27,-24,1030,,,,
31,-21,761,,,,
82,-28,1061,,,,
-20,10,1042,,,,
54,-13,1016,,,,
12,12,914,,,,
52,-3,1051,,,,
14,-5,993,,,,
4,9,846,,,,
8,0,926,,,,
0,0,1064,,,,
26,-12,1115,,,,
38,10,927,,,,
43,-5,854,,,,
42,-16,1113,,,,
52,-14,1041,,,,
-22,20,993,,,,
54,-15,859,,,,
20,-17,841,,,,
5,-28,1096,,,,
22,-7,799,,,,
51,-27,927,,,,
47,-18,1123,,,,
29,1,1119,,,,
-54,4,927,,,,
83,-18,1189,,,,
4,4,893,,,,
46,-31,1068,,,,
-1,-14,1118,,,,
14,-14,933,,,,
38,-20,1035,,,,
36,-5,1105,,,,
14,-30,1032,,,,
61,-20,1138,,,,
32,-19,1044,,,,
-19,-9,961,,,,
31,-4,1005,,,,
81,-17,1076,,,,
43,-17,1062,,,,
59,-36,832,,,,
25,4,952,,,,
22,-3,1007,,,,
39,-8,938,,,,
75,-12,928,,,,
77,-16,1138,,,,
-40,2,1039,,,,
-1,-1,972,,,,
81,-31,901,,,,
62,-26,966,,,,
33,-2,1095,,,,
43,-27,1033,,,,
44,-13,1048,,,,
74,8,1015,,,,
16,6,954,,,,
57,-36,976,,,,
76,-5,1052,,,,
10,6,901,,,,
105,12,1031,,,,
51,12,972,,,,
37,-46,888,,,,
13,-3,1041,,,,
57,36,1085,,,,
40,0,973,,,,
85,-5,1010,,,,
56,-23,968,,,,
68,-25,1023,,,,
7,1,1061,,,,
19,-10,984,,,,
13,8,1005,,,,
46,-1,1014,,,,
76,-28,956,,,,
95,1,972,,,,
34,4,1049,,,,
35,-6,959,,,,
27,-15,998,,,,
7,-4,979,,,,
27,-3,1047,,,,
60,3,1013,,,,
116,-28,977,,,,
104,-16,990,,,,
105,-18,979,,,,
55,-13,968,,,,
71,-24,993,,,,
71,-11,1004,,,,
94,-6,1054,,,,
7,3,1023,,,,
-83,11,1037,,,,
50,-13,954,,,,
150,-30,960,,,,
124,-28,1024,,,,
64,-21,1002,,,,
4,-3,1008,,,,
8,-10,986,,,,
29,-12,1013,,,,
38,-12,989,,,,
78,-3,1013,,,,
58,-14,999,,,,
52,-12,991,,,,
49,-5,999,,,,
65,-10,997,,,,
52,-11,995,,,,
37,-14,999,,,,
14,-13,999,,,,
17,-15,998,,,,
9,-17,1001,,,,
9,-10,1004,,,,
14,-11,1003,,,,
10,-16,998,,,,
11,-11,1002,,,,
8,-12,1002,,,,
7,-12,999,,,,
6,-15,998,,,,
6,-14,996,,,,
7,-11,996,,,,
6,-10,996,,,,
7,-13,994,,,,
12,-12,1002,,,,
7,-13,998,,,,
4,-14,1000,,,,
8,-9,1001,,,,
8,-14,998,,,,
9,-11,996,,,,
17,-12,994,,,,
38,-11,991,,,,
11,-15,991,,,,
130,-22,1138,,,,
107,-15,932,,,,
57,-20,1012,,,,
-8,-6,991,,,,
-22,-13,1014,,,,
-7,-11,998,,,,
-5,-13,997,,,,
1,-9,1004,,,,
0,-16,991,,,,
9,-21,991,,,,
24,-14,991,,,,
3,-11,1001,,,,
6,-18,994,,,,
5,-7,1010,,,,
-5,-12,996,,,,
4,-17,992,,,,
12,-13,1009,,,,
20,-21,990,,,,
28,-12,1009,,,,
25,-14,987,,,,
5,-8,1001,,,,
7,-9,1011,,,,
1,-10,999,,,,
7,-16,1007,,,,
14,-12,1002,,,,
17,-21,995,,,,
25,-12,996,,,,
4,-7,1008,,,,
21,-9,996,,,,
21,-2,1007,,,,
36,-9,1005,,,,
32,-17,1006,,,,
27,-16,989,,,,
31,-16,1007,,,,
23,-14,1008,,,,
40,-14,988,,,,
41,-12,1004,,,,
11,-7,1002,,,,
25,-16,1007,,,,
43,-10,983,,,,
40,-10,973,,,,
27,-14,1016,,,,
63,-14,1010,,,,
41,-14,1014,,,,
40,-4,993,,,,
203,-43,793,,,,
96,-37,1108,,,,
49,-9,979,,,,
69,-30,996,,,,
70,-23,1008,,,,
91,-16,1009,,,,
67,-22,974,,,,
81,-21,983,,,,
104,-17,968,,,,
82,-34,951,,,,
87,-13,964,,,,
79,-12,1022,,,,
162,-14,972,,,,
155,-29,918,,,,
109,-33,1053,,,,
207,-38,896,,,,
264,-71,831,,,,
149,4,1174,,,,
163,-28,707,,,,
167,-45,1096,,,,
194,-33,982,,,,
173,-38,991,,,,
218,-42,926,,,,
176,-24,930,,,,
171,2,880,,,,
170,-9,966,,,,
224,-11,1088,,,,
178,-63,1420,,,,
238,-72,624,,,,
270,-39,1017,,,,
257,-44,991,,,,
215,-67,910,,,,
257,-84,673,,,,
193,-94,1192,,,,
188,-57,1289,,,,
250,-75,378,,,,
252,-50,692,,,,
366,-43,1004,,,,
309,-47,1066,,,,
285,-16,1264,,,,
412,-56,828,,,,
365,-66,968,,,,
296,-44,1064,,,,
301,-33,1019,,,,
387,-37,506,,,,
252,-1,1348,,,,
359,-47,1019,,,,
382,-47,703,,,,
359,-91,1022,,,,
313,-37,1170,,,,
340,-79,729,,,,
326,-11,719,,,,
289,-39,884,,,,
216,-12,1271,,,,
196,-29,1005,,,,
286,20,707,,,,
270,19,1069,,,,
222,-12,1146,,,,
321,-30,994,,,,
243,10,848,,,,
153,-17,1003,,,,
149,-6,1015,,,,
261,43,742,,,,
204,-28,1057,,,,
85,-10,897,,,,
200,0,1306,,,,
167,5,1134,,,,
197,-8,1774,,,,
176,-19,1113,,,,
78,-38,1073,,,,
188,3,1205,,,,
89,14,1130,,,,
153,-4,839,,,,
137,-36,823,,,,
16,7,1064,,,,
148,-10,851,,,,
129,-19,1269,,,,
17,-15,1187,,,,
132,-46,1302,,,,
92,-14,493,,,,
97,-2,1295,,,,
70,-42,1180,,,,
75,71,823,,,,
47,15,1088,,,,
127,-39,-147,,,,
11,39,1297,,,,
156,16,548,,,,
92,-27,944,,,,
46,-64,890,,,,
63,-82,357,,,,
52,3,1203,,,,
103,-5,1268,,,,
-8,-58,963,,,,
93,-5,938,,,,
8,83,1891,,,,
50,-31,1343,,,,
-9,-22,893,,,,
80,36,1055,,,,
103,-38,587,,,,
16,1,1240,,,,
24,-31,949,,,,
82,-78,907,,,,
